'THX Sound'	「THX 音效」
'To my slimiest son, love MOM.'	「給我最黏答答的兒子，愛你的媽媽。」
'See Ron Gilbert Live at the Forum!'	「朗・吉伯特演唱會，論壇廳現場開唱！」
It's still playing!	它還在播！
It looks like a car key.	看起來像車鑰匙。
'Tentacle mating calls.'	「觸手求偶叫聲精選。」
I love her songs!	我超愛她的歌！
'Killing me repeatedly' is my favorite!	我最愛「一殺再殺我」那首！
'Where the dead-end streets have no name' is my favorite!	我最愛「死巷無名」那首！
'My frustration will go on' is my favorite!	我最愛「我的挫折永不停歇」那首！
'The man who sold the genre' is my favorite!	我最愛「賣掉整個曲風的男人」那首！
'MCGA' is my favorite!	我最愛「MCGA」那首！
'Death is all around' is my favorite!	我最愛「死亡無所不在」那首！
'Ken sold me' is my favorite!	我最愛「肯把我賣了」那首！
I think it speaks for itself.	我想這已經不必解釋了。
Wow! This thing is sweet.	哇！這台真夠讚。
There's no tape in the player.	播放器裡沒有帶子。
It's blank.	是空白帶。
Hey, this is great stuff!	嘿，這東西真不賴！
I could use someone like you in my band!	我的樂團正需要你這種人！
I have a demo tape, but it's no use.	我有一卷試聽帶，可是沒用。
I'll never get a recording contract...	我永遠拿不到唱片合約……
...even if we get a band together.	……就算我們組成樂團也一樣。
It doesn't look very comfortable.	看起來不太好睡。
left speaker	左喇叭
hatch>v	艙蓋>v
right speaker	右喇叭
picture	照片
poster	海報
mondo stereo	超猛音響
cassette tape	卡帶
yellow key	黃色鑰匙
record	唱片
Now who could that be?	這時候會是誰啊？
Hello?	喂？
Who's there?	是誰？
Is this a prank phone call?	這是惡作劇電話嗎？
It doesn't sound like a prank phone call,	聽起來不像惡作劇電話，
there's no heavy breathing.	都沒有粗重的喘息聲。
Here, let me show you how to do it...	來，我示範一次給你聽……
Is this you again?	又是你嗎？
Daddy's been acting very strangely ever...	爸爸最近很不對勁……
...since his secret project in the lab...	……自從他在實驗室搞那個祕密計畫之後……
YEAH SO!	所以咧！
Well, Mommy, I'm worried about him.	媽，我是在擔心他嘛。
He hasn't been at dinner for 5 years...	他已經五年沒上桌吃飯了……
YEAH, SO!	所以咧！
...and he's been bringing those bodies...	……而且他半夜一直把那些屍體……
...down into the basement late at night.	……往地下室搬。
WHAT'S YOUR POINT ED?!	你到底想說什麼，愛德？！
I'M A VERY BUSY LADY!	我可是很忙的女人！
Never mind.	沒事了。
Edna...	愛德娜……
I'm having trouble with the Zom-B-Matic.	殭屍製造機出了點問題。
I need to shut down the power.	我得把電源關掉。
It'll be off for 5 or 6 minutes.	會停個五、六分鐘。
Is this all you have to say to me?	你就只有這些話要跟我說？
You've been in the basement for the past 5 years!	你已經在地下室待了五年！
Sometimes I think you like that meteor more than me!	我有時候覺得你愛那顆隕石勝過愛我！
Don't worry my little Beauty Queen soon everything will be different.	別擔心，我的小選美皇后，一切很快就會不一樣了。
Sure.	是喔。
Oh! An unwelcome visitor!	哦！有不速之客！
It's a small key.	是一把小鑰匙。
I can't say I'm surprised.	我一點也不意外。
It's a ceiling mirror.	是天花板上的鏡子。
That's Dr. Fred alright.	沒錯，就是佛瑞德博士。
It's heart shaped.	是心形的。
It's Edna's perfume. And it smells TERRIBLE!	是愛德娜的香水。而且有夠難聞！
night stand	床頭櫃
cracked mirror	裂掉的鏡子
desk	書桌
phone	電話
plant	盆栽
mirror	鏡子
picture of Dr. Fred	佛瑞德博士的照片
pillow	枕頭
small key	小鑰匙
perfume	香水
It's too dark to see anything.	太暗了，什麼都看不到。
Boy is he ugly!	他還真醜！
It's too tiny to read!	字太小了，看不清楚！
It's a combination wall safe.	是一個轉盤密碼的壁式保險箱。
light>u	燈>u
painting	油畫
wall safe>o	壁式保險箱>o
painting>c	油畫>c
wall safe>c	壁式保險箱>c
scrawled number	潦草寫下的號碼
sealed envelope	密封的信封
Now you have to find me my plans.	現在你得去幫我把計畫書找回來。
I lost them somewhere!	我把它們弄丟在某個地方了！
You see, the evil meteor has turned my father into a madman.	你們知道嗎，那顆邪惡隕石把我爸變成了瘋子。
I must break into the lab and save him.	我一定要闖進實驗室救他。
I need my commando package and plans, but I lost them.	我需要我的突擊裝備包和計畫書，可是都弄丟了。
Come back when you have what I need!	等你們拿到我要的東西再回來！
Gee, I'm hungry!	唉唷，我好餓！
Oh, the doorbell!	哦，門鈴！
I wonder if that's my package?	會不會是我的包裹到了？
Hey Ed!	嘿，愛德！
The meteor wants to borrow your hamster and electric cattle prod.	隕石想跟你借倉鼠和電擊棒。
My hamster! NOBODY touches my HAMSTER!	我的倉鼠！誰都不准碰我的倉鼠！
Better watch it, Ed you're going to piss-off the meteor.	你最好小心點，愛德，你快把隕石惹毛了。
It already thinks you stole my purple card key.	它已經認定是你偷了我的紫色卡片鑰匙。
Er...	呃……
I don't know what you're talking about!	我不知道你在講什麼！
I can't get to the meteor without it.	沒有它我根本到不了隕石那邊。
Oh, really?	哦，是嗎？
Shape up, kid!	給我振作點，小鬼！
Hello.	你好。
Come see me when you have the plans.	拿到計畫書再來找我。
Getting ready for the big raid?	在準備那場大突襲嗎？
Hmm. It doesn't make any sense.	嗯。完全看不懂。
'L.F.L.U. Rah!'	「L.F.L.U. 加油！」
What are you doing!	你在幹嘛！
You're not supposed to touch that!	那個不能亂碰！
Oh, how cute!	哦，好可愛！
'This side up.'	「此面朝上。」
Damn! I broke it!	糟了！我把它打破了！
It's a glass piggy bank.	是一個玻璃小豬撲滿。
Cool model.	模型不錯。
