Ok! This looks like the old mansion.	好，看起來就是那棟老宅了。
I'm sure I saw Dr. Fred take Sandy here.	我確定看到佛瑞德博士把珊蒂帶進來。
It's up to us to get her out.	現在只能靠我們把她救出來。
This could be real dangerous.	這搞不好真的很危險。
If anyone wants to back out...	誰想退出的話⋯⋯
Let's do it.	動手吧。
Did any of you guys see that movie?	你們有誰看過那部電影嗎？
Four kids went into this strange house...	四個小鬼走進一棟怪房子⋯⋯
and...	然後⋯⋯
uh...	呃⋯⋯
...never mind.	⋯⋯算了，當我沒說。
This would make a great story.	這題材可以寫成一篇好報導。
Ok, I'm outta here!	好啦，我要閃了！
BERNARD! Don't be a tuna head!	伯納！別像個鮪魚腦一樣！
It's Sandy we're talking about!	我們在講的是珊蒂耶！
Ok.	好吧。
I heard Dr. Fred was kinda cute.	聽說佛瑞德博士還蠻帥的。
I thought we were going to the beach!	我還以為我們是要去海邊！
Ok, let's go rescue Sandy!	好，我們去救珊蒂！
WARNING!!	警告！！
Trespassers will be...	擅闖者將被⋯⋯
...horribly mutilated.	⋯⋯殘忍地大卸八塊。
sign	標示
It looks like someone's memoir,	看起來像某人的回憶錄，
but the writing is terrible!	不過文筆爛得可以！
It's written by a meteor?	作者是一顆隕石？
How strange!	真是怪了！
This is great stuff!	這東西太讚了！
The whole world should see it.	全世界都該看看。
This is the worst junk I've ever read.	這是我看過最爛的垃圾。
It's too dark to read.	太暗了，看不清楚。
It looks like formulas...	看起來像一堆公式⋯⋯
...describing the structure of a meteor!	⋯⋯在描述隕石的結構！
That's strange.	真奇怪。
'Degree for mummifying and bandaging.'	「木乃伊製作與包紮學位證書。」
'Presented to Doctor Fred.'	「頒給佛瑞德博士。」
It's too heavy!	太重了！
Yuck. That's disgusting!	噁。有夠噁心！
It must require a special key.	一定要某把特別的鑰匙才行。
Oooh! That's scary!	哦哦！好可怕！
'Chewy carmel center.'	「內含耐嚼焦糖。」
door>v	門>v
desk>v	書桌>v
desk lamp>u	檯燈>u
black board	黑板
Docs 'R Us Diploma	「醫生量販店」文憑
Mail-A-Med Diploma	「郵購醫學院」文憑
examination table	診療台
medical chart	病歷表
Real skeleton	真人骨骼標本
medical cabinet	醫療櫃
medical diagram	人體解剖圖
manuscript	手稿
I guess the power's out.	看來是停電了。
The New Adventures of Zak McKracken	札克・馬克拉肯歷險新記
What a great game!	這遊戲太棒了！
This game is broken.	這台壞了。
The machine is locked.	這台鎖住了。
The power is off.	電源沒開。
Pretty boring!	有夠無聊！
It's the video game 'Video Fever'.	是電動遊戲「電玩狂熱」。
It's the video game 'Disco Crazy'.	是電動遊戲「狂舞迪斯可」。
It's the video game 'Alien Slime'.	是電動遊戲「外星黏液」。
It's the video game 'Die Enemy Die'.	是電動遊戲「敵人去死去死」。
It's the video game 'Meteor Mess'.	是電動遊戲「隕石大亂鬥」。
It's the video game 'Kill Thrill'.	是電動遊戲「殺戮快感」。
Zak McKracken poster	札克・馬克拉肯海報
air hockey table	空氣曲棍球台
Video Fever game	電玩狂熱機台
Disco Crazy game	狂舞迪斯可機台
Alien Slime game	外星黏液機台
Die Enemy Die game	敵人去死去死機台
Meteor Mess game	隕石大亂鬥機台
Kill Thrill game	殺戮快感機台
coin box	投幣孔
quarter	二十五分硬幣
You can't pass until you feed me!	餵飽我之前你別想過去！
Where's my drink!	我的飲料呢！
AAAAAAAAAAEEEEEEE	啊啊啊啊啊啊咿咿咿咿
It sure is lovely.	真的挺好看的。
window	窗戶
lovely plant	漂亮的盆栽
stairs	樓梯
They're locked.	鎖住了。
I wonder if photos of experiments are kept in here.	不知道實驗照片是不是收在這裡。
It's a tray to develop film.	是沖洗底片用的顯影盤。
The tray is already full.	盤子已經滿了。
I need some developer solution first.	我得先弄到顯影液。
Water's not going to work!	用水是不會成功的！
Perfect.	完美。
Nobody's going to want ruined prints!	洗壞的照片沒人要看！
I don't know how!	我不會弄！
It's an enlarger for photographs.	是照片放大機。
developer tray	顯影盤
enlarger	放大機
red light>u	紅燈>u
file drawers>o	檔案抽屜>o
'WANTED: For terrible acts of violence.'	「通緝：涉及殘暴的暴力行為。」
'One murderous purple slimy meteor.'	「一顆會殺人的紫色黏答答隕石。」
'If found, call 3412.'	「如有發現，請撥 3412。」
'If found, call 1138.'	「如有發現，請撥 1138。」
'If found, call 9111.'	「如有發現，請撥 9111。」
'If found, call 1977.'	「如有發現，請撥 1977。」
'If found, call 0525.'	「如有發現，請撥 0525。」
It's missing a type W-88 vacuum tube.	少了一支 W-88 型真空管。
I can't get it to work.	我弄不動它。
It might be missing a part.	好像少了個零件。
The police are on their way.	警察已經在路上了。
It's a high-tech radio.	是台高科技無線電。
I'd hate to wake up to THAT every morning.	每天早上醒來看到「那個」，我可受不了。
There's a radio tube in the socket.	插座上有一支真空管。
I don't know how this stuff works!	我搞不懂這種東西怎麼用！
wanted poster	通緝海報
picture of Nurse Edna	愛德娜護士的照片
tube socket	真空管插座
radio 	無線電 
bed	床
ladder	梯子
dime	一角硬幣
radio tube	真空管
