family portrait	全家福畫像
fireplace	壁爐
hatch	艙蓋
Man-eating plant	食人植物
It shows the trajectory of a meteorite impacting Earth.	上面畫著一顆隕石撞上地球的軌跡。
Rotate right.	向右轉。
It's not rotating.	它沒在轉。
It's rotating.	它正在轉。
'Donations kindly accepted.'	「歡迎樂捐。」
Rotate left.	向左轉。
That's the second biggest telescope I've ever seen.	這是我看過第二大的望遠鏡。
It's the telescope control panel.	是望遠鏡的控制台。
coin slot	投幣孔
hole>v	洞>v
left button>s	左鈕>s
right button>s	右鈕>s
control panel	控制台
really powerful telescope>u	超強力望遠鏡>u
astronomy chart	星象圖
YOWL!	嗷嗚！
It's broken electrical wires.	是斷掉的電線。
There, that should do it.	好了，這樣應該行了。
Looks like the batteries went dead.	看來電池沒電了。
Maybe I can find some others.	也許我可以找到別的。
It's kind of dark,	有點暗，
but I think I fixed it.	不過我想我修好了。
The  boards won't budge.	這些木板紋風不動。
Looks like this job was done in a rush.	看起來這活做得很趕。
The wires are fixed now.	電線修好了。
boarded up window	被木板封死的窗戶
wires	電線
Oh boy! Cheese for my hamster and me!	太好了！我和我的倉鼠都有起司吃！
Where's the cheese!?	起司咧！？
I got you! To the dungeon, intruder!	抓到你了！入侵者，關進地牢！
Want some food? Come here dearie!	想吃東西嗎？過來呀，親愛的！
These things are powerful.	這玩意兒威力很強。
Oh no!	糟糕！
Radioactive steam!	輻射蒸汽！
Ahheee	啊咿咿
I'd better fill it first.	我最好先把它裝滿。
How sick!	有夠變態！
The door is closed.	門是關著的。
I shouldn't turn on an empty microwave.	微波爐空著不該開。
Heh, heh, heh.	嘿、嘿、嘿。
There's red stuff oozing out of it.	有紅色的東西從裡面滲出來。
It's already closed.	已經關上了。
It's already opened.	已經打開了。
It needs batteries.	它需要電池。
I don't think it's been used for awhile.	這東西應該很久沒用了。
I'd rather use the microwave.	我還是用微波爐好了。
They're very dull.	這些都很鈍。
They're glued to the wall.	它們被黏在牆上。
It's quite moldy.	發霉發得很嚴重。
I doubt these would last long.	我看這些放不了多久。
It's very dirty.	髒得很。
'12 fluid ounces (354 ml)'	「12 液盎司（354 毫升）」
What a mess!	一團亂！
Ouch! It's still too hot!	好燙！現在還太燙了！
The jar is filled with tap water.	罐子裡裝滿了自來水。
The jar is filled with radioactive pool water.	罐子裡裝滿了游泳池的輻射水。
It's a blank envelope.	是一個空白信封。
It's addressed to: 222 Skyscraper Way.	收件地址是：摩天大道 222 號。
microwave oven>v	微波爐>v
refrigerator>v	冰箱>v
stove	爐子
very dull knives	很鈍的刀子
faucet>v	水龍頭>v
chainsaw	電鋸
flashlight	手電筒
cheese	起司
old batteries	舊電池
lettuce	生菜
can of Pepsi	一罐百事可樂
broken bottles of ketchup	破掉的番茄醬瓶
jar of water	一罐水
I wouldn't be surprised...	我一點也不會意外……
...if this was leftover from Thanksgiving dinner.	……如果這是感恩節晚餐剩下來的。
Ewww.	噁～。
I don't do table cloths.	桌巾我可不碰。
chair	椅子
candle	蠟燭
gravy stain	肉汁污漬
old rotting turkey	腐爛的老火雞
week old roast	放了一週的烤肉
Whoops!	糟糕！
It's a bottle of film developer.	是一瓶底片顯影液。
I love the cute commercials for this.	我超愛這牌子那些可愛的廣告。
God knows how old these are.	天知道這些放多久了。
It comes in grape, orange, and lime flavors.	有葡萄、柳橙和萊姆口味。
A jar is always useful.	罐子總是用得上。
It's welded into the floor.	它被焊死在地板上。
Yech, broken glass!	噁，碎玻璃！
shelves	架子
grate	地板柵欄
bottle of developer	顯影液瓶
tentacle chow	觸手飼料
canned goods	罐頭食品
fruit drinks	水果飲料
glass jar	玻璃罐
I don't want to get wet!	我不想弄濕！
It's a swimming pool filled with radioactive water.	是一座裝滿輻射水的游泳池。
I'm not going down there.	我才不要下去那裡。
It's full of water!	裡面滿是水！
I can't reach it.	我搆不到。
gate>v	柵門>v
swimming pool	游泳池
old tree	老樹
gate	柵門
pool chair	泳池躺椅
radio	收音機
It's a glowing key!	是一把會發光的鑰匙！
'DO NOT PRESS UNDER ANY CIRCUMSTANCES!'	「無論如何都不准按！」
It's a floatable pool chair.	是一張可以浮在水上的泳池躺椅。
It's the pool's drain.	是游泳池的排水口。
They're radioactive cooling rods.	是輻射冷卻棒。
That is disgusting goo!	那坨黏液有夠噁！
red button	紅色按鈕
drain	排水口
exposed cooling rods	外露的冷卻棒
radioactive slime	輻射黏液
